[INFO|splitters|L253] 2024-06-10 00:15:20: Saving similarity histogram plot between into -> C:\Users\Jorge\Desktop\MASTER_IA\TFM\proyecto\data\figures\splitter\20240610001520_d6cb0a05-b4a4-4a47-a90b-69e7b45ec2b4_similarity_hist.png
[INFO|_client|L1026] 2024-06-10 00:15:22: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:22: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:23: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:23: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:25: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:25: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:27: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:27: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:29: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:29: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:31: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:31: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:33: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:33: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:34: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:34: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:36: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:36: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[INFO|_client|L1026] 2024-06-10 00:15:38: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[INFO|etl|L194] 2024-06-10 00:15:38: Generating labels with model : GPT using tokenizer : <Encoding 'cl100k_base'>
[WARNING|etl|L181] 2024-06-10 00:15:38: Reached max samples : 10 parameter while generating labels
